# x, y, theta, v_l, v_r
50.00, 249.25, 1.571, -75.07, -75.07
50.00, 248.50, 1.571, -75.07, -75.07
50.00, 247.75, 1.571, -75.07, -75.07
50.00, 247.00, 1.571, -75.07, -75.07
50.00, 246.25, 1.571, -75.07, -75.07
50.00, 245.50, 1.571, -75.07, -75.07
50.00, 244.74, 1.571, -75.07, -75.07
50.00, 243.99, 1.571, -75.07, -75.07
50.00, 243.24, 1.571, -75.07, -75.07
50.00, 242.49, 1.571, -75.07, -75.07
50.00, 241.74, 1.571, -75.07, -75.07
50.00, 240.99, 1.571, -75.07, -75.07
50.00, 240.24, 1.571, -75.07, -75.07
50.00, 239.49, 1.571, -75.07, -75.07
50.00, 238.74, 1.571, -75.07, -75.07
50.00, 237.99, 1.571, -75.07, -75.07
50.00, 237.24, 1.571, -75.07, -75.07
50.00, 236.49, 1.571, -75.07, -75.07
50.00, 235.74, 1.571, -75.07, -75.07
50.00, 234.99, 1.571, -75.07, -75.07
50.00, 234.23, 1.571, -75.07, -75.07
50.00, 233.48, 1.571, -75.07, -75.07
50.00, 232.73, 1.571, -75.07, -75.07
50.00, 231.98, 1.571, -75.07, -75.07
50.00, 231.23, 1.571, -75.07, -75.07
50.00, 230.48, 1.571, -75.07, -75.07
50.00, 229.73, 1.571, -75.07, -75.07
50.00, 228.98, 1.571, -75.07, -75.07
50.00, 228.23, 1.571, -75.07, -75.07
50.00, 227.48, 1.571, -75.07, -75.07
50.00, 226.73, 1.571, -75.07, -75.07
50.00, 225.98, 1.571, -75.07, -75.07
50.00, 225.23, 1.571, -75.07, -75.07
50.00, 224.48, 1.571, -75.07, -75.07
50.00, 223.72, 1.571, -75.07, -75.07
50.00, 222.97, 1.571, -75.07, -75.07
50.00, 222.22, 1.571, -75.07, -75.07
50.00, 221.47, 1.571, -75.07, -75.07
50.00, 220.72, 1.571, -75.07, -75.07
50.00, 219.97, 1.571, -75.07, -75.07
50.00, 219.22, 1.571, -75.07, -75.07
50.00, 218.47, 1.571, -75.07, -75.07
50.00, 217.72, 1.571, -75.07, -75.07
50.00, 216.97, 1.571, -75.07, -75.07
50.00, 216.22, 1.571, -75.07, -75.07
50.00, 215.47, 1.571, -75.07, -75.07
50.00, 214.72, 1.571, -75.07, -75.07
50.00, 213.96, 1.571, -75.07, -75.07
50.00, 213.21, 1.571, -75.07, -75.07
50.00, 212.46, 1.571, -75.07, -75.07
50.00, 211.71, 1.571, -75.07, -75.07
50.00, 210.96, 1.571, -75.07, -75.07
50.00, 210.21, 1.571, -75.07, -75.07
50.00, 209.46, 1.571, -75.07, -75.07
50.00, 208.71, 1.571, -75.07, -75.07
50.00, 207.96, 1.571, -75.07, -75.07
50.00, 207.21, 1.571, -75.07, -75.07
50.00, 206.46, 1.571, -75.07, -75.07
50.00, 205.71, 1.571, -75.07, -75.07
50.00, 204.96, 1.571, -75.07, -75.07
50.00, 204.21, 1.571, -75.07, -75.07
50.00, 203.45, 1.571, -75.07, -75.07
50.00, 202.70, 1.571, -75.07, -75.07
50.00, 201.95, 1.571, -75.07, -75.07
50.00, 201.20, 1.571, -75.07, -75.07
50.00, 200.45, 1.571, -75.07, -75.07
50.00, 199.70, 1.571, -75.07, -75.07
50.00, 198.95, 1.571, -75.07, -75.07
50.00, 198.20, 1.571, -75.07, -75.07
50.00, 197.45, 1.571, -75.07, -75.07
50.00, 196.70, 1.571, -75.07, -75.07
50.00, 195.95, 1.571, -75.07, -75.07
50.00, 195.20, 1.571, -75.07, -75.07
50.00, 194.45, 1.571, -75.07, -75.07
50.00, 193.70, 1.571, -75.07, -75.07
50.00, 192.94, 1.571, -75.07, -75.07
50.00, 192.19, 1.571, -75.07, -75.07
50.00, 191.44, 1.571, -75.07, -75.07
50.00, 190.69, 1.571, -75.07, -75.07
50.00, 189.94, 1.571, -75.07, -75.07
50.00, 189.19, 1.571, -75.07, -75.07
50.00, 188.44, 1.571, -75.07, -75.07
50.00, 187.69, 1.571, -75.07, -75.07
50.00, 186.94, 1.571, -75.07, -75.07
50.00, 186.19, 1.571, -75.07, -75.07
50.00, 185.44, 1.571, -75.07, -75.07
50.00, 184.69, 1.571, -75.07, -75.07
50.00, 183.94, 1.571, -75.07, -75.07
50.00, 183.18, 1.571, -75.07, -75.07
50.00, 182.43, 1.571, -75.07, -75.07
50.00, 181.68, 1.571, -75.07, -75.07
50.00, 180.93, 1.571, -75.07, -75.07
50.00, 180.18, 1.571, -75.07, -75.07
50.00, 179.43, 1.571, -75.07, -75.07
50.00, 178.68, 1.571, -75.07, -75.07
50.00, 177.93, 1.571, -75.07, -75.07
50.00, 177.18, 1.571, -75.07, -75.07
50.00, 176.43, 1.571, -75.07, -75.07
50.00, 175.68, 1.571, -75.07, -75.07
50.00, 174.93, 1.571, -75.07, -75.07
50.00, 174.18, 1.571, -75.07, -75.07
50.00, 173.43, 1.571, -75.07, -75.07
50.00, 172.67, 1.571, -75.07, -75.07
50.00, 171.92, 1.571, -75.07, -75.07
50.00, 171.17, 1.571, -75.07, -75.07
50.00, 170.42, 1.571, -75.07, -75.07
50.00, 169.67, 1.571, -75.07, -75.07
50.00, 168.92, 1.571, -75.07, -75.07
50.00, 168.17, 1.571, -75.07, -75.07
50.00, 167.42, 1.571, -75.07, -75.07
50.00, 166.67, 1.571, -75.07, -75.07
50.00, 165.92, 1.571, -75.07, -75.07
50.00, 165.17, 1.571, -75.07, -75.07
50.00, 164.42, 1.571, -75.07, -75.07
50.00, 163.67, 1.571, -75.07, -75.07
50.00, 162.91, 1.571, -75.07, -75.07
50.00, 162.16, 1.571, -75.07, -75.07
50.00, 161.41, 1.571, -75.07, -75.07
50.00, 160.66, 1.571, -75.07, -75.07
50.00, 159.91, 1.571, -75.07, -75.07
50.00, 159.16, 1.571, -75.07, -75.07
50.00, 158.41, 1.571, -75.07, -75.07
50.00, 157.66, 1.571, -75.07, -75.07
50.00, 156.91, 1.571, -75.07, -75.07
50.00, 156.16, 1.571, -75.07, -75.07
50.00, 155.41, 1.571, -75.07, -75.07
50.00, 154.66, 1.571, -75.07, -75.07
50.00, 153.91, 1.571, -75.07, -75.07
50.00, 153.16, 1.571, -75.07, -75.07
50.00, 152.40, 1.571, -75.07, -75.07
50.00, 151.65, 1.571, -75.07, -75.07
50.00, 150.90, 1.571, -75.07, -75.07
50.00, 150.15, 1.571, -75.07, -75.07
50.00, 149.40, 1.571, -75.07, -75.07
50.00, 148.65, 1.571, -75.07, -75.07
50.00, 147.90, 1.571, -75.07, -75.07
50.00, 147.15, 1.571, -75.07, -75.07
50.00, 146.40, 1.571, -75.07, -75.07
50.00, 145.65, 1.571, -75.07, -75.07
50.00, 144.90, 1.571, -75.07, -75.07
50.00, 144.15, 1.571, -75.07, -75.07
50.00, 143.40, 1.571, -75.07, -75.07
50.00, 142.65, 1.571, -75.07, -75.07
50.00, 141.89, 1.571, -75.07, -75.07
50.00, 141.14, 1.571, -75.07, -75.07
50.00, 140.39, 1.571, -75.07, -75.07
50.00, 139.64, 1.571, -75.07, -75.07
50.00, 138.89, 1.571, -75.07, -75.07
50.00, 138.14, 1.571, -75.07, -75.07
50.00, 137.39, 1.571, -75.07, -75.07
50.00, 136.64, 1.571, -75.07, -75.07
50.00, 135.89, 1.571, -75.07, -75.07
50.00, 135.14, 1.571, -75.07, -75.07
50.00, 134.39, 1.571, -75.07, -75.07
50.00, 133.64, 1.571, -75.07, -75.07
50.00, 132.89, 1.571, -75.07, -75.07
50.00, 132.13, 1.571, -75.07, -75.07
50.00, 131.38, 1.571, -75.07, -75.07
50.00, 130.63, 1.571, -75.07, -75.07
50.00, 129.88, 1.571, -75.07, -75.07
50.00, 129.13, 1.571, -75.07, -75.07
50.00, 128.38, 1.571, -75.07, -75.07
50.00, 127.63, 1.571, -75.07, -75.07
50.00, 126.88, 1.571, -75.07, -75.07
50.00, 126.13, 1.571, -75.07, -75.07
50.00, 125.38, 1.571, -75.07, -75.07
50.00, 124.63, 1.571, -75.07, -75.07
50.00, 123.88, 1.571, -75.07, -75.07
50.00, 123.13, 1.571, -75.07, -75.07
50.00, 122.38, 1.571, -75.07, -75.07
50.00, 121.62, 1.571, -75.07, -75.07
50.00, 120.87, 1.571, -75.07, -75.07
50.00, 120.12, 1.571, -75.07, -75.07
50.00, 119.37, 1.571, -75.07, -75.07
50.00, 118.62, 1.571, -75.07, -75.07
50.00, 117.87, 1.571, -75.07, -75.07
50.00, 117.12, 1.571, -75.07, -75.07
50.00, 116.37, 1.571, -75.07, -75.07
50.00, 115.62, 1.571, -75.07, -75.07
50.00, 114.87, 1.571, -75.07, -75.07
50.00, 114.12, 1.571, -75.07, -75.07
50.00, 113.37, 1.571, -75.07, -75.07
50.00, 112.62, 1.571, -75.07, -75.07
50.00, 111.87, 1.571, -75.07, -75.07
50.00, 111.11, 1.571, -75.07, -75.07
50.00, 110.36, 1.571, -75.07, -75.07
50.00, 109.61, 1.571, -75.07, -75.07
50.00, 108.86, 1.571, -75.07, -75.07
50.00, 108.11, 1.571, -75.07, -75.07
50.00, 107.36, 1.571, -75.07, -75.07
50.00, 106.61, 1.571, -75.07, -75.07
50.00, 105.86, 1.571, -75.07, -75.07
50.00, 105.11, 1.571, -75.07, -75.07
50.00, 104.36, 1.571, -75.07, -75.07
50.00, 103.61, 1.571, -75.07, -75.07
50.00, 102.86, 1.571, -75.07, -75.07
50.00, 102.11, 1.571, -75.07, -75.07
50.00, 101.35, 1.571, -75.07, -75.07
50.00, 100.60, 1.571, -75.07, -75.07
50.00, 99.85, 1.571, -75.07, -75.07
50.00, 99.10, 1.571, -75.07, -75.07
50.00, 98.35, 1.571, -75.07, -75.07
50.00, 97.60, 1.571, -75.07, -75.07
50.00, 96.85, 1.571, -75.07, -75.07
50.00, 96.10, 1.571, -75.07, -75.07
50.00, 95.35, 1.571, -75.07, -75.07
50.00, 94.60, 1.571, -75.07, -75.07
50.00, 93.85, 1.571, -75.07, -75.07
50.00, 93.10, 1.571, -75.07, -75.07
50.00, 92.35, 1.571, -75.07, -75.07
50.00, 91.60, 1.571, -75.07, -75.07
50.00, 90.84, 1.571, -75.07, -75.07
50.00, 90.09, 1.571, -75.07, -75.07
50.00, 89.34, 1.571, -75.07, -75.07
50.00, 88.59, 1.571, -75.07, -75.07
50.00, 87.84, 1.571, -75.07, -75.07
50.00, 87.09, 1.571, -75.07, -75.07
50.00, 86.34, 1.571, -75.07, -75.07
50.00, 85.59, 1.571, -75.07, -75.07
50.00, 84.84, 1.571, -75.07, -75.07
50.00, 84.09, 1.571, -75.07, -75.07
50.00, 83.34, 1.571, -75.07, -75.07
50.00, 82.59, 1.571, -75.07, -75.07
50.00, 81.84, 1.571, -75.07, -75.07
50.00, 81.09, 1.571, -75.07, -75.07
50.00, 80.33, 1.571, -75.07, -75.07
50.00, 79.58, 1.571, -75.07, -75.07
50.00, 78.83, 1.571, -75.07, -75.07
50.00, 78.08, 1.571, -75.07, -75.07
50.00, 77.33, 1.571, -75.07, -75.07
50.00, 76.58, 1.571, -75.07, -75.07
50.00, 75.83, 1.571, -75.07, -75.07
50.00, 75.08, 1.571, -75.07, -75.07
50.00, 74.33, 1.571, -75.07, -75.07
50.00, 73.58, 1.571, -75.07, -75.07
50.00, 72.83, 1.571, -75.07, -75.07
50.00, 72.08, 1.571, -75.07, -75.07
50.00, 71.33, 1.571, -75.07, -75.07
50.00, 70.57, 1.571, -75.07, -75.07
50.00, 69.82, 1.571, -75.07, -75.07
50.00, 69.07, 1.571, -75.07, -75.07
50.00, 68.32, 1.571, -75.07, -75.07
50.00, 67.57, 1.571, -75.07, -75.07
50.00, 66.82, 1.571, -75.07, -75.07
50.00, 66.07, 1.571, -75.07, -75.07
50.00, 65.32, 1.571, -75.07, -75.07
50.00, 64.57, 1.571, -75.07, -75.07
50.00, 63.82, 1.571, -75.07, -75.07
50.00, 63.07, 1.571, -75.07, -75.07
50.00, 62.32, 1.571, -75.07, -75.07
50.00, 61.57, 1.571, -75.07, -75.07
50.00, 60.82, 1.571, -75.07, -75.07
50.00, 60.06, 1.571, -75.07, -75.07
50.00, 59.31, 1.571, -75.07, -75.07
50.00, 58.56, 1.571, -75.07, -75.07
50.00, 57.81, 1.571, -75.07, -75.07
50.00, 57.06, 1.571, -75.07, -75.07
50.00, 56.31, 1.571, -75.07, -75.07
50.00, 55.56, 1.571, -75.07, -75.07
50.00, 54.81, 1.571, -75.07, -75.07
50.00, 54.06, 1.571, -75.07, -75.07
50.00, 53.31, 1.571, -75.07, -75.07
50.00, 52.56, 1.571, -75.07, -75.07
50.00, 51.81, 1.571, -75.07, -75.07
50.00, 51.06, 1.571, -75.07, -75.07
50.00, 50.30, 1.571, -75.07, -75.07
50.00, 49.55, 1.571, -75.07, -75.07
50.00, 48.80, 1.571, -75.07, -75.07
50.00, 48.05, 1.571, -75.07, -75.07
50.00, 47.30, 1.571, -75.07, -75.07
50.00, 46.55, 1.571, -75.07, -75.07
50.00, 45.80, 1.571, -75.07, -75.07
