# x, y, theta, v_l, v_r
49.98, 250.12, 1.820, 0.00, 24.93
49.92, 250.36, 1.820, 24.93, 24.93
49.86, 250.60, 1.820, 24.93, 24.93
49.80, 250.84, 1.820, 24.93, 24.93
49.74, 251.09, 1.820, 24.93, 24.93
49.68, 251.33, 1.820, 24.93, 24.93
49.62, 251.57, 1.820, 24.93, 24.93
49.55, 251.81, 1.820, 24.93, 24.93
49.49, 252.05, 1.820, 24.93, 24.93
49.43, 252.29, 1.820, 24.93, 24.93
49.37, 252.54, 1.820, 24.93, 24.93
49.31, 252.78, 1.820, 24.93, 24.93
49.25, 253.02, 1.820, 24.93, 24.93
49.19, 253.26, 1.820, 24.93, 24.93
49.12, 253.50, 1.820, 24.93, 24.93
49.06, 253.74, 1.820, 24.93, 24.93
49.00, 253.98, 1.820, 24.93, 24.93
48.94, 254.23, 1.820, 24.93, 24.93
48.88, 254.47, 1.820, 24.93, 24.93
48.82, 254.71, 1.820, 24.93, 24.93
48.75, 254.95, 1.820, 24.93, 24.93
48.69, 255.19, 1.820, 24.93, 24.93
48.63, 255.43, 1.820, 24.93, 24.93
48.57, 255.68, 1.820, 24.93, 24.93
48.51, 255.92, 1.820, 24.93, 24.93
48.45, 256.16, 1.820, 24.93, 24.93
48.39, 256.40, 1.820, 24.93, 24.93
48.32, 256.64, 1.820, 24.93, 24.93
48.26, 256.88, 1.820, 24.93, 24.93
48.20, 257.12, 1.820, 24.93, 24.93
48.14, 257.37, 1.820, 24.93, 24.93
48.08, 257.61, 1.820, 24.93, 24.93
48.02, 257.85, 1.820, 24.93, 24.93
47.96, 258.09, 1.820, 24.93, 24.93
47.89, 258.33, 1.820, 24.93, 24.93
47.83, 258.57, 1.820, 24.93, 24.93
47.77, 258.82, 1.820, 24.93, 24.93
47.71, 259.06, 1.820, 24.93, 24.93
47.65, 259.30, 1.820, 24.93, 24.93
47.59, 259.54, 1.820, 24.93, 24.93
47.52, 259.78, 1.820, 24.93, 24.93
47.46, 260.02, 1.820, 24.93, 24.93
47.40, 260.27, 1.820, 24.93, 24.93
47.34, 260.51, 1.820, 24.93, 24.93
47.28, 260.75, 1.820, 24.93, 24.93
47.22, 260.99, 1.820, 24.93, 24.93
47.16, 261.23, 1.820, 24.93, 24.93
47.09, 261.47, 1.820, 24.93, 24.93
47.03, 261.71, 1.820, 24.93, 24.93
46.97, 261.96, 1.820, 24.93, 24.93
46.91, 262.20, 1.820, 24.93, 24.93
46.85, 262.44, 1.820, 24.93, 24.93
46.79, 262.68, 1.820, 24.93, 24.93
46.73, 262.92, 1.820, 24.93, 24.93
46.66, 263.16, 1.820, 24.93, 24.93
46.60, 263.41, 1.820, 24.93, 24.93
46.54, 263.65, 1.820, 24.93, 24.93
46.48, 263.89, 1.820, 24.93, 24.93
46.42, 264.13, 1.820, 24.93, 24.93
46.36, 264.37, 1.820, 24.93, 24.93
46.29, 264.61, 1.820, 24.93, 24.93
46.23, 264.85, 1.820, 24.93, 24.93
46.17, 265.10, 1.820, 24.93, 24.93
46.11, 265.34, 1.820, 24.93, 24.93
46.05, 265.58, 1.820, 24.93, 24.93
45.99, 265.82, 1.820, 24.93, 24.93
45.93, 266.06, 1.820, 24.93, 24.93
45.86, 266.30, 1.820, 24.93, 24.93
45.80, 266.55, 1.820, 24.93, 24.93
45.74, 266.79, 1.820, 24.93, 24.93
45.68, 267.03, 1.820, 24.93, 24.93
45.62, 267.27, 1.820, 24.93, 24.93
45.56, 267.51, 1.820, 24.93, 24.93
45.50, 267.75, 1.820, 24.93, 24.93
45.43, 268.00, 1.820, 24.93, 24.93
45.37, 268.24, 1.820, 24.93, 24.93
45.31, 268.48, 1.820, 24.93, 24.93
45.25, 268.72, 1.820, 24.93, 24.93
45.19, 268.96, 1.820, 24.93, 24.93
45.13, 269.20, 1.820, 24.93, 24.93
45.07, 269.44, 1.820, 24.93, 24.93
45.00, 269.69, 1.820, 24.93, 24.93
44.94, 269.93, 1.820, 24.93, 24.93
44.88, 270.17, 1.820, 24.93, 24.93
44.82, 270.41, 1.820, 24.93, 24.93
44.76, 270.65, 1.820, 24.93, 24.93
44.70, 270.89, 1.820, 24.93, 24.93
44.63, 271.14, 1.820, 24.93, 24.93
44.57, 271.38, 1.820, 24.93, 24.93
44.51, 271.62, 1.820, 24.93, 24.93
44.45, 271.86, 1.820, 24.93, 24.93
44.39, 272.10, 1.820, 24.93, 24.93
44.33, 272.34, 1.820, 24.93, 24.93
44.27, 272.58, 1.820, 24.93, 24.93
44.20, 272.83, 1.820, 24.93, 24.93
44.14, 273.07, 1.820, 24.93, 24.93
44.08, 273.31, 1.820, 24.93, 24.93
44.02, 273.55, 1.820, 24.93, 24.93
43.96, 273.79, 1.820, 24.93, 24.93
43.90, 274.03, 1.820, 24.93, 24.93
43.84, 274.28, 1.820, 24.93, 24.93
43.77, 274.52, 1.820, 24.93, 24.93
43.71, 274.76, 1.820, 24.93, 24.93
43.65, 275.00, 1.820, 24.93, 24.93
43.59, 275.24, 1.820, 24.93, 24.93
43.53, 275.48, 1.820, 24.93, 24.93
43.47, 275.73, 1.820, 24.93, 24.93
43.40, 275.97, 1.820, 24.93, 24.93
43.34, 276.21, 1.820, 24.93, 24.93
43.28, 276.45, 1.820, 24.93, 24.93
43.22, 276.69, 1.820, 24.93, 24.93
43.16, 276.93, 1.820, 24.93, 24.93
43.10, 277.17, 1.820, 24.93, 24.93
43.04, 277.42, 1.820, 24.93, 24.93
42.97, 277.66, 1.820, 24.93, 24.93
42.91, 277.90, 1.820, 24.93, 24.93
42.85, 278.14, 1.820, 24.93, 24.93
42.79, 278.38, 1.820, 24.93, 24.93
42.73, 278.62, 1.820, 24.93, 24.93
42.67, 278.87, 1.820, 24.93, 24.93
42.61, 279.11, 1.820, 24.93, 24.93
42.54, 279.35, 1.820, 24.93, 24.93
42.48, 279.59, 1.820, 24.93, 24.93
42.42, 279.83, 1.820, 24.93, 24.93
42.36, 280.07, 1.820, 24.93, 24.93
